,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
0,Severe Weather - Thunderstorms,2014,6/30/2014,8:00 PM,7/2/2014,6:30 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"420,000","severe weather, thunderstorm",40,-89,,
1,Severe Weather - Thunderstorms,2014,6/30/2014,11:20 PM,7/1/2014,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"127,000","severe weather, thunderstorm",40.273502,-86.126976,,"4,645,572"
2,Severe Weather - Thunderstorms,2014,6/30/2014,5:55 PM,7/1/2014,2:53 AM,We Energies,Wisconsin,MRO,424,"120,000","severe weather, thunderstorm",44.5,-89.5,,
3,Fuel Supply Emergency - Coal,2014,6/27/2014,1:21 PM,Unknown,Unknown,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",44.5,-89.5,,
4,Physical Attack - Vandalism,2014,6/24/2014,2:54 PM,6/24/2014,2:55 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"vandalism, physical",35.860119,-86.660156,,
5,Physical Attack - Vandalism,2014,6/19/2014,8:47 AM,6/19/2014,8:48 AM,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"vandalism, physical",35.860119,-86.660156,,
6,Physical Attack - Vandalism,2014,6/18/2014,9:52 AM,6/18/2014,7:00 PM,Public Utility District No.1 of Snohomish County (SNPD),Washington,WECC,Unknown,Unknown,"vandalism, physical",47.751076,-120.740135,,
7,Severe Weather - Thunderstorms,2014,6/18/2014,5:00 PM,6/20/2014,3:00 PM,Detroit Edison Co,Michigan,RFC,Unknown,"138,802","severe weather, thunderstorm",44.182205,-84.506836,,
8,Severe Weather - Thunderstorms,2014,6/15/2014,12:00 AM,6/15/2014,1:00 AM,Xcel Energy,Minnesota,MRO,Unknown,"55,951","severe weather, thunderstorm",46.39241,-94.63623,,
9,Suspected Physical Attack,2014,6/12/2014,9:10 AM,6/12/2014,9:11 AM,"Luminant Energy Company, LLC",Texas,ERCOT,Unknown,Unknown,"vandalism, physical",31,-100,,
